Site,Install_year,type,year,biomass,flats_mean,years_since_install,time_since_intervention,installation_year,PostInstall,YearSinceInstall,resid
Jointer Creek Oyster Reef A,2012,Oyster Reef,1999,281.5675659,0.7764765999533914,-13,0,2012,0,0,-40.96019516029685
Jointer Creek Oyster Reef B,2012,Oyster Reef,1999,253.3072052,0.7829963998361067,-13,0,2012,0,0,-77.45286627359286
Jointer Creek Oyster Reef C,2012,Oyster Reef,1999,309.3886719,0.9265072762966156,-13,0,2012,0,0,-26.092015971035323
Jointer Creek Oyster Reef D,2012,Oyster Reef,1999,362.7474976,0.3039360344409942,-13,0,2012,0,0,-96.39198884305495
Turtle A,2014,Oyster Reef,1999,722.7866821,0.43961671988169354,-15,0,2014,0,0,-113.57326473137664
Turtle B,2014,Oyster Reef,1999,343.1932983,0.39076021855527704,-15,0,2014,0,0,-54.705220315601764
Turtle C,2014,Oyster Reef,1999,644.9019775,0.746644323070844,-15,0,2014,0,0,-45.36754503040618
Turtle D,2014,Oyster Reef,1999,382.8501282,0.37595106796784833,-15,0,2014,0,0,-84.46110647627108
Turtle E,2014,Oyster Reef,1999,278.3372498,0.5285793021321297,-15,0,2014,0,0,-86.42047949881419
Bellville Boat Ramp Site,2008,Oyster Reef,1999,776.350708,0.5516653250564229,-9,0,2008,0,0,-115.57711501026995
Plantation Creek Site,2010,Oyster Reef,2000,428.1877441,0.3448920175433159,-10,0,2010,0,0,-109.81412115518327
Florida Passage Site,2012,Oyster Reef,2000,461.3734436,0.8673670540253321,-12,0,2012,0,0,-106.90071575846332
Oatland Site,2014,Oyster Reef,2000,389.4212036,0.29118161580779334,-14,0,2014,0,0,-75.26914748994983
Jekyll Island Boat Ramp Site,2009,Oyster Reef,2000,398.0437012,0.8443120072285334,-9,0,2009,0,0,-69.70393543541974
Oyster Creek Site B,2013,Oyster Reef,2000,227.1656189,0.8310470978418986,-13,0,2013,0,0,-60.74765194119206
Jointer Creek Oyster Reef A,2012,Oyster Reef,2000,252.5852356,0.8031118164459864,-12,0,2012,0,0,-67.74381164425384
Jointer Creek Oyster Reef B,2012,Oyster Reef,2000,252.8820953,0.7866204380989075,-12,0,2012,0,0,-75.67926235754987
Jointer Creek Oyster Reef C,2012,Oyster Reef,2000,257.8430176,0.9290956904490789,-12,0,2012,0,0,-75.43895645499236
Jointer Creek Oyster Reef D,2012,Oyster Reef,2000,345.322998,0.4230356737971306,-12,0,2012,0,0,-111.61777462701195
Turtle A,2014,Oyster Reef,2000,721.479187,0.44722380150448193,-14,0,2014,0,0,-112.68204601533364
Turtle B,2014,Oyster Reef,2000,307.2377625,0.40718791385491687,-14,0,2014,0,0,-88.46204229955879
Turtle C,2014,Oyster Reef,2000,510.3275452,0.759700616200765,-14,0,2014,0,0,-177.74326351436326
Turtle D,2014,Oyster Reef,2000,363.1211853,0.38319307068983716,-14,0,2014,0,0,-101.9913355602281
Turtle E,2014,Oyster Reef,2000,283.0062256,0.5423046747843424,-14,0,2014,0,0,-79.55278988277121
Bellville Boat Ramp Site,2008,Oyster Reef,2000,792.463501,0.5883423984050751,-8,0,2008,0,0,-97.26560819422707
Plantation Creek Site,2010,Oyster Reef,2001,425.9655762,0.3386004554728667,-9,0,2010,0,0,-109.83757523913937
Florida Passage Site,2012,Oyster Reef,2001,472.497345,0.8797424882650375,-11,0,2012,0,0,-93.5781005424194
Oatland Site,2014,Oyster Reef,2001,383.5690918,0.2780006354053815,-13,0,2014,0,0,-78.92254547390593
Jekyll Island Boat Ramp Site,2009,Oyster Reef,2001,412.9073181,0.8360249002774557,-8,0,2009,0,0,-52.641604719375835
Oyster Creek Site B,2013,Oyster Reef,2001,231.8927917,0.8545568823814392,-12,0,2013,0,0,-53.821765325148164
Jointer Creek Oyster Reef A,2012,Oyster Reef,2001,271.8853149,0.7972951183716456,-11,0,2012,0,0,-46.245018528209926
Jointer Creek Oyster Reef B,2012,Oyster Reef,2001,284.1684875,0.8050485948721567,-11,0,2012,0,0,-42.19415634150596
Jointer Creek Oyster Reef C,2012,Oyster Reef,2001,297.3435364,0.9212865034739176,-11,0,2012,0,0,-33.739723838948464
Jointer Creek Oyster Reef D,2012,Oyster Reef,2001,354.7943726,0.3946536456545194,-11,0,2012,0,0,-99.94768621096807
Turtle A,2014,Oyster Reef,2001,707.513916,0.4130716969569524,-13,0,2014,0,0,-124.44860319928978
Turtle B,2014,Oyster Reef,2001,327.6682434,0.4793151691555977,-13,0,2014,0,0,-65.83284758351488
Turtle C,2014,Oyster Reef,2001,665.864563,0.7517823527256647,-13,0,2014,0,0,-20.00753189831937
Turtle D,2014,Oyster Reef,2001,407.6125793,0.43847268277948553,-13,0,2014,0,0,-55.30122774418419
Turtle E,2014,Oyster Reef,2001,290.0565796,0.5533132528265318,-13,0,2014,0,0,-70.30372206672729
Bellville Boat Ramp Site,2008,Oyster Reef,2001,774.5401611,0.6182165443897247,-7,0,2008,0,0,-112.99023427818315
Plantation Creek Site,2010,Oyster Reef,2002,662.2423706,0.33612524593869847,-8,0,2010,0,0,128.63793297690358
Florida Passage Site,2012,Oyster Reef,2002,671.711792,0.9076800563118674,-10,0,2012,0,0,107.83506027362353
Oatland Site,2014,Oyster Reef,2002,502.890625,0.4001004124681155,-12,0,2014,0,0,42.59770154213703
Jekyll Island Boat Ramp Site,2009,Oyster Reef,2002,560.6226196,0.8378394891818365,-7,0,2009,0,0,97.27241059666716
Oyster Creek Site B,2013,Oyster Reef,2002,373.2827759,0.8427791216156699,-11,0,2013,0,0,89.7669326908948
Jointer Creek Oyster Reef A,2012,Oyster Reef,2002,364.6024475,0.8269544641176859,-10,0,2012,0,0,48.67082788783301
Jointer Creek Oyster Reef B,2012,Oyster Reef,2002,378.2518616,0.7992381503184637,-10,0,2012,0,0,54.08793157453698
Jointer Creek Oyster Reef C,2012,Oyster Reef,2002,388.5468445,0.9324084470669428,-10,0,2012,0,0,59.66229807709453
Jointer Creek Oyster Reef D,2012,Oyster Reef,2002,524.5615845,0.3696890560289224,-10,0,2012,0,0,72.01823950507492
Turtle A,2014,Oyster Reef,2002,913.157959,0.38919782141844433,-12,0,2014,0,0,83.39415361675321
Turtle B,2014,Oyster Reef,2002,444.8254395,0.4352225959300995,-12,0,2014,0,0,53.52306233252813
Turtle C,2014,Oyster Reef,2002,884.1120605,0.7615096817413965,-12,0,2014,0,0,200.43867941772362
Turtle D,2014,Oyster Reef,2002,543.2172852,0.4127698789040248,-12,0,2014,0,0,82.50219197185879
Turtle E,2014,Oyster Reef,2002,455.2564392,0.5423731654882431,-12,0,2014,0,0,97.09485134931566
Bellville Boat Ramp Site,2008,Oyster Reef,2002,1036.713257,0.6018869985233654,-6,0,2008,0,0,151.38157543785996
Plantation Creek Site,2010,Oyster Reef,2003,442.3424988,0.339179590344429,-7,0,2010,0,0,-89.0632250070534
Florida Passage Site,2012,Oyster Reef,2003,523.4186401,0.8487566163142523,-9,0,2012,0,0,-38.25937781033349
Oatland Site,2014,Oyster Reef,2003,405.3289795,0.28774772087732947,-11,0,2014,0,0,-52.765230141819984
Jekyll Island Boat Ramp Site,2009,Oyster Reef,2003,419.0458679,0.8132082711566578,-6,0,2009,0,0,-42.10562728728985
Oyster Creek Site B,2013,Oyster Reef,2003,211.455246,0.8558340413229806,-10,0,2013,0,0,-69.86188339306221
Jointer Creek Oyster Reef A,2012,Oyster Reef,2003,280.0456543,0.8228527953227361,-9,0,2012,0,0,-33.68725149612396
Jointer Creek Oyster Reef B,2012,Oyster Reef,2003,281.6192932,0.7928570942445234,-9,0,2012,0,0,-40.345923009420005
Jointer Creek Oyster Reef C,2012,Oyster Reef,2003,291.2483521,0.9300977858630094,-9,0,2012,0,0,-35.43748050686253
Jointer Creek Oyster Reef D,2012,Oyster Reef,2003,365.3628845,0.3543149314143441,-9,0,2012,0,0,-84.98174667888208
Turtle A,2014,Oyster Reef,2003,719.0997925,0.4003425267609683,-11,0,2014,0,0,-108.46529906720377
Turtle B,2014,Oyster Reef,2003,303.3897095,0.4836469267805417,-11,0,2014,0,0,-85.71395385142893
Turtle C,2014,Oyster Reef,2003,616.4171753,0.7429649938236583,-11,0,2014,0,0,-65.05749196623333
Turtle D,2014,Oyster Reef,2003,417.4837952,0.42166829605897266,-11,0,2014,0,0,-41.03258421209824
Turtle E,2014,Oyster Reef,2003,308.8169556,0.5956654765389182,-11,0,2014,0,0,-47.14591843464137
Bellville Boat Ramp Site,2008,Oyster Reef,2003,784.8782959,0.6024915824333826,-5,0,2008,0,0,-98.25467184609715
Plantation Creek Site,2010,Oyster Reef,2004,673.5912476,0.26579017043113706,-6,0,2010,0,0,144.38423760899047
Florida Passage Site,2012,Oyster Reef,2004,583.7041016,0.8248706559340159,-8,0,2012,0,0,24.2247975057104
Oatland Site,2014,Oyster Reef,2004,532.8916626,0.21686049347574057,-10,0,2014,0,0,76.99616677422392
Jekyll Island Boat Ramp Site,2009,Oyster Reef,2004,569.2075806,0.7939319312572479,-5,0,2009,0,0,110.25479922875405
Oyster Creek Site B,2013,Oyster Reef,2004,375.2473755,0.8229433397452036,-9,0,2013,0,0,96.12895992298166
Jointer Creek Oyster Reef A,2012,Oyster Reef,2004,393.5281982,0.7901574323574702,-8,0,2012,0,0,81.99400621991992
Jointer Creek Oyster Reef B,2012,Oyster Reef,2004,414.2658386,0.7857643316189448,-8,0,2012,0,0,94.49933620662387
Jointer Creek Oyster Reef C,2012,Oyster Reef,2004,384.0309753,0.9200512617826462,-8,0,2012,0,0,59.54385650918141
Jointer Creek Oyster Reef D,2012,Oyster Reef,2004,602.5748291,0.2388698567043651,-8,0,2012,0,0,154.4289117371618
Turtle A,2014,Oyster Reef,2004,867.2958984,0.32431186570061576,-10,0,2014,0,0,41.92952064884014
Turtle B,2014,Oyster Reef,2004,494.5990601,0.38548220694065094,-10,0,2014,0,0,107.69411056461496
Turtle C,2014,Oyster Reef,2004,813.9738159,0.7033212157812986,-10,0,2014,0,0,134.6978624498105
Turtle D,2014,Oyster Reef,2004,566.6244507,0.3883041116324338,-10,0,2014,0,0,110.30678510394569
Turtle E,2014,Oyster Reef,2004,438.2828064,0.4875403507189317,-10,0,2014,0,0,84.51864618140257
Bellville Boat Ramp Site,2008,Oyster Reef,2004,1102.4021,0.5690476397673289,-4,0,2008,0,0,221.46784606994675
Plantation Creek Site,2010,Oyster Reef,2005,662.2679443,0.2837442507346471,-5,0,2010,0,0,135.25964812503344
Florida Passage Site,2012,Oyster Reef,2005,550.5997925,0.8489867846171061,-7,0,2012,0,0,-6.680797778246529
Oatland Site,2014,Oyster Reef,2005,472.1933594,0.21251716619978345,-9,0,2014,0,0,18.496577390266907
Jekyll Island Boat Ramp Site,2009,Oyster Reef,2005,595.0631104,0.7640638500452042,-4,0,2009,0,0,138.30904284479703
Oyster Creek Site B,2013,Oyster Reef,2005,287.7948608,0.7910986867817965,-8,0,2013,0,0,10.875159039024652
Jointer Creek Oyster Reef A,2012,Oyster Reef,2005,382.5842285,0.7855183184146881,-7,0,2012,0,0,73.24875033596288
Jointer Creek Oyster Reef B,2012,Oyster Reef,2005,424.9590149,0.7669779495759443,-7,0,2012,0,0,107.39122632266685
Jointer Creek Oyster Reef C,2012,Oyster Reef,2005,427.1500854,0.9004427032037214,-7,0,2012,0,0,104.86168042522439
Jointer Creek Oyster Reef D,2012,Oyster Reef,2005,581.052002,0.2755009407798449,-7,0,2012,0,0,135.1047984532048
Turtle A,2014,Oyster Reef,2005,980.0535278,0.36866523573795956,-9,0,2014,0,0,156.88586386488305
Turtle B,2014,Oyster Reef,2005,487.1239319,0.38041820252935094,-9,0,2014,0,0,102.41769618065797
Turtle C,2014,Oyster Reef,2005,845.3546753,0.7109178205331167,-9,0,2014,0,0,168.27743566585355
Turtle D,2014,Oyster Reef,2005,545.0219727,0.3788210153579712,-9,0,2014,0,0,90.90302091998865
Turtle E,2014,Oyster Reef,2005,425.3447266,0.49759070575237274,-9,0,2014,0,0,73.77928019744553
Bellville Boat Ramp Site,2008,Oyster Reef,2005,1111.66626,0.5654296477635702,-3,0,2008,0,0,232.93071988598967
Plantation Creek Site,2010,Oyster Reef,2006,393.0657959,0.2979723093184558,-4,0,2010,0,0,-131.7437864589226
Florida Passage Site,2012,Oyster Reef,2006,377.6419067,0.8173226366440455,-6,0,2012,0,0,-177.43996976220268
Oatland Site,2014,Oyster Reef,2006,342.5863953,0.20907670124010602,-8,0,2014,0,0,-108.91167289368923
Jekyll Island Boat Ramp Site,2009,Oyster Reef,2006,335.125,0.7885150661071142,-3,0,2009,0,0,-119.4303537391591
Oyster Creek Site B,2013,Oyster Reef,2006,213.6856232,0.8256610751152038,-7,0,2013,0,0,-61.03536474493143
Jointer Creek Oyster Reef A,2012,Oyster Reef,2006,232.1643066,0.7862964868545532,-6,0,2012,0,0,-74.97245774799322
Jointer Creek Oyster Reef B,2012,Oyster Reef,2006,233.8174438,0.7589804430802664,-6,0,2012,0,0,-81.55163096128925
Jointer Creek Oyster Reef C,2012,Oyster Reef,2006,230.9115753,0.9359487394491831,-6,0,2012,0,0,-89.17811585873173
Jointer Creek Oyster Reef D,2012,Oyster Reef,2006,273.3473816,0.34488942846655846,-6,0,2012,0,0,-170.4011081307513
Turtle A,2014,Oyster Reef,2006,639.1640015,0.3510690393547217,-8,0,2014,0,0,-181.804948619073
Turtle B,2014,Oyster Reef,2006,265.8015747,0.38415569936235744,-8,0,2014,0,0,-116.70594720329814
Turtle C,2014,Oyster Reef,2006,500.9181213,0.7380769451459249,-8,0,2014,0,0,-173.96040451810262
Turtle D,2014,Oyster Reef,2006,318.2853088,0.3954545979698499,-8,0,2014,0,0,-133.63492916396746
Turtle E,2014,Oyster Reef,2006,248.3869171,0.5163423642516136,-8,0,2014,0,0,-100.97981548651057
Bellville Boat Ramp Site,2008,Oyster Reef,2006,774.9615479,0.5700288762648901,-2,0,2008,0,0,-101.57527839796637
Plantation Creek Site,2010,Oyster Reef,2007,594.0621948,0.297231911258264,-3,0,2010,0,0,71.4513262571204
Florida Passage Site,2012,Oyster Reef,2007,693.0176392,0.877643113786524,-5,0,2012,0,0,140.13447655384027
Oatland Site,2014,Oyster Reef,2007,584.1845703,0.205156793196996,-7,0,2014,0,0,134.88521592235378
Jekyll Island Boat Ramp Site,2009,Oyster Reef,2007,568.7260132,0.8048325479030609,-2,0,2009,0,0,116.36937327688389
Oyster Creek Site B,2013,Oyster Reef,2007,396.5411987,0.8863945549184625,-6,0,2013,0,0,124.01892457111154
Jointer Creek Oyster Reef A,2012,Oyster Reef,2007,366.4785767,0.8301700299436395,-5,0,2012,0,0,61.54052616804978
Jointer Creek Oyster Reef B,2012,Oyster Reef,2007,392.810791,0.8083774989301508,-5,0,2012,0,0,79.64043005475372
Jointer Creek Oyster Reef C,2012,Oyster Reef,2007,389.5459595,0.9393760074268688,-5,0,2012,0,0,71.65498215731122
Jointer Creek Oyster Reef D,2012,Oyster Reef,2007,493.5654297,0.45140939702590305,-5,0,2012,0,0,52.01565378529165
Turtle A,2014,Oyster Reef,2007,866.199707,0.37141527608036995,-7,0,2014,0,0,47.42947069696993
Turtle B,2014,Oyster Reef,2007,433.1328125,0.3985790340229869,-7,0,2014,0,0,52.82400441274484
Turtle C,2014,Oyster Reef,2007,934.1932983,0.7470621466636658,-7,0,2014,0,0,261.5134862979404
Turtle D,2014,Oyster Reef,2007,541.3942261,0.4259437918663025,-7,0,2014,0,0,91.6727019520755
Turtle E,2014,Oyster Reef,2007,413.2774353,0.5155978227655093,-7,0,2014,0,0,66.10941652953238
Bellville Boat Ramp Site,2008,Oyster Reef,2007,1029.979248,0.5499719406167666,-1,0,2008,0,0,155.64113551807668
Plantation Creek Site,2010,Oyster Reef,2008,399.7562561,0.3705354531606038,-2,0,2010,0,0,-120.65589862683669
Florida Passage Site,2012,Oyster Reef,2008,445.998291,0.874481682976087,-4,0,2012,0,0,-104.68615783011671
Oatland Site,2014,Oyster Reef,2008,378.2870178,0.3381581095357736,-6,0,2014,0,0,-68.81362276160326
Jekyll Island Boat Ramp Site,2009,Oyster Reef,2008,414.4759827,0.7731347481409708,-1,0,2009,0,0,-35.68194340707316
Oyster Creek Site B,2013,Oyster Reef,2008,244.1049042,0.862221497297287,-5,0,2013,0,0,-26.21865611284548
Jointer Creek Oyster Reef A,2012,Oyster Reef,2008,301.6809692,0.8629472255706787,-4,0,2012,0,0,-1.058367515907264
Jointer Creek Oyster Reef B,2012,Oyster Reef,2008,288.9185791,0.843795733018355,-4,0,2012,0,0,-22.053068029203303
Jointer Creek Oyster Reef C,2012,Oyster Reef,2008,316.8959656,0.9506802504712885,-4,0,2012,0,0,1.2037020733542363
Jointer Creek Oyster Reef D,2012,Oyster Reef,2008,369.8619995,0.6083495020866394,-4,0,2012,0,0,-69.48906259866533
Turtle A,2014,Oyster Reef,2008,650.7663574,0.486635555823644,-6,0,2014,0,0,-165.80516508698713
Turtle B,2014,Oyster Reef,2008,279.6398621,0.5224935818802227,-6,0,2014,0,0,-98.47023217121216
Turtle C,2014,Oyster Reef,2008,503.4592285,0.785802342674949,-6,0,2014,0,0,-167.02186968601666
Turtle D,2014,Oyster Reef,2008,376.9127197,0.4953412090738614,-6,0,2014,0,0,-70.61009063188146
Turtle E,2014,Oyster Reef,2008,279.5734863,0.6177354753017426,-6,0,2014,0,0,-65.3958186544246
Bellville Boat Ramp Site,2008,Oyster Reef,2008,776.7024536,0.5567043796181679,0,0,2008,1,0,-96.67166460403496
Plantation Creek Site,2010,Oyster Reef,2009,624.1729736,0.3357405364513397,-1,0,2010,0,0,105.95953268920721
Florida Passage Site,2012,Oyster Reef,2009,637.1309204,0.8419763326644898,-3,0,2012,0,0,88.64518538592722
Oatland Site,2014,Oyster Reef,2009,496.5157471,0.33225284245881165,-5,0,2014,0,0,51.613820354440634
Jekyll Island Boat Ramp Site,2009,Oyster Reef,2009,569.8777466,0.7648918529351553,0,0,2009,1,0,120.68381477081624
Oyster Creek Site B,2013,Oyster Reef,2009,348.6974182,0.9149806141853333,-4,0,2013,0,0,80.57257170319843
Jointer Creek Oyster Reef A,2012,Oyster Reef,2009,379.0058289,0.8844825625419617,-3,0,2012,0,0,78.46520600013662
Jointer Creek Oyster Reef B,2012,Oyster Reef,2009,367.7493896,0.8552364011605581,-3,0,2012,0,0,58.97645628684057
Jointer Creek Oyster Reef C,2012,Oyster Reef,2009,366.4970093,0.944673478603363,-3,0,2012,0,0,53.00345958939812
Jointer Creek Oyster Reef D,2012,Oyster Reef,2009,609.472168,0.41546596451239154,-3,0,2012,0,0,172.31981971737855
Turtle A,2014,Oyster Reef,2009,950.5344849,0.42981041471163434,-5,0,2014,0,0,136.16167622905687
Turtle B,2014,Oyster Reef,2009,394.9241028,0.47898379781029443,-5,0,2014,0,0,19.01272234483173
Turtle C,2014,Oyster Reef,2009,772.7207642,0.7865299642086029,-5,0,2014,0,0,104.4383798300272
Turtle D,2014,Oyster Reef,2009,487.7245178,0.5311445345481237,-5,0,2014,0,0,42.400421284162405
Turtle E,2014,Oyster Reef,2009,376.1586304,0.5850187919356606,-5,0,2014,0,0,33.38803926161927
Bellville Boat Ramp Site,2008,Oyster Reef,2009,787.3428955,0.5992960358659426,1,1,2008,1,1,-89.04430587711784
Plantation Creek Site,2010,Oyster Reef,2010,424.5984192,0.29652691700241784,0,0,2010,1,0,-92.6510274329043
Florida Passage Site,2012,Oyster Reef,2010,463.5106201,0.8483040928840637,-2,0,2012,0,0,-82.77640109802985
Oatland Site,2014,Oyster Reef,2010,399.4590454,0.29967260609070456,-4,0,2014,0,0,-43.2441675295164
Jekyll Island Boat Ramp Site,2009,Oyster Reef,2010,357.0115967,0.7513270974159241,1,1,2009,1,1,-95.12617086529116
Oyster Creek Site B,2013,Oyster Reef,2010,206.3730164,0.8774456679821014,-3,0,2013,0,0,-59.55311628075859
Jointer Creek Oyster Reef A,2012,Oyster Reef,2010,231.8764191,0.8438822974761327,-2,0,2012,0,0,-66.46548998382039
Jointer Creek Oyster Reef B,2012,Oyster Reef,2010,240.1895142,0.7944754163424174,-2,0,2012,0,0,-66.38470529711643
Jointer Creek Oyster Reef C,2012,Oyster Reef,2010,234.8457489,0.8892156581083933,-2,0,2012,0,0,-76.44908699455891
Jointer Creek Oyster Reef D,2012,Oyster Reef,2010,324.1885376,0.3053416926413774,-2,0,2012,0,0,-110.76509686657846
Turtle A,2014,Oyster Reef,2010,703.9362183,0.3986586704850197,-4,0,2014,0,0,-108.23787655490025
Turtle B,2014,Oyster Reef,2010,295.9934998,0.4125656882921855,-4,0,2014,0,0,-77.71916683912531
Turtle C,2014,Oyster Reef,2010,569.4524536,0.750364954272906,-4,0,2014,0,0,-96.63121695392977
Turtle D,2014,Oyster Reef,2010,361.9533386,0.44584086537361145,-4,0,2014,0,0,-81.17204409979462
Turtle E,2014,Oyster Reef,2010,267.1495056,0.5628807544708252,-4,0,2014,0,0,-73.42237172233774
Bellville Boat Ramp Site,2008,Oyster Reef,2010,793.0421143,0.5871646081407865,2,2,2008,1,2,-86.35817025020162
Plantation Creek Site,2010,Oyster Reef,2011,403.6470642,0.3091041805843512,1,1,2010,1,1,-118.27116092143223
Florida Passage Site,2012,Oyster Reef,2011,429.2822266,0.8820784986019135,-1,0,2012,0,0,-114.80608078198685
Oatland Site,2014,Oyster Reef,2011,376.1099243,0.2562692792465289,-3,0,2014,0,0,-64.39457481347341
Jekyll Island Boat Ramp Site,2009,Oyster Reef,2011,316.1078796,0.7651642461617788,2,2,2009,1,2,-138.97372370139846
Oyster Creek Site B,2013,Oyster Reef,2011,206.7933807,0.9272624552249908,-2,0,2013,0,0,-56.934038164715616
Jointer Creek Oyster Reef A,2012,Oyster Reef,2011,244.4851074,0.8600366115570068,-1,0,2012,0,0,-51.6580878677774
Jointer Creek Oyster Reef B,2012,Oyster Reef,2011,251.2270355,0.8191676537195841,-1,0,2012,0,0,-53.148470181073435
Jointer Creek Oyster Reef C,2012,Oyster Reef,2011,240.6745911,0.9456356714169184,-1,0,2012,0,0,-68.42153097851593
Jointer Creek Oyster Reef D,2012,Oyster Reef,2011,279.7740479,0.3649273564418157,-1,0,2012,0,0,-152.98087275053547
Turtle A,2014,Oyster Reef,2011,632.7432251,0.36329606423775357,-3,0,2014,0,0,-177.2321559388572
Turtle B,2014,Oyster Reef,2011,271.880127,0.4520673304796219,-3,0,2014,0,0,-99.6338258230823
Turtle C,2014,Oyster Reef,2011,501.2781067,0.7373054896791776,-3,0,2014,0,0,-162.60685003788677
Turtle D,2014,Oyster Reef,2011,318.3343811,0.46636127432187396,-3,0,2014,0,0,-122.59228778375166
Turtle E,2014,Oyster Reef,2011,245.3650665,0.5607725431521734,-3,0,2014,0,0,-93.00809700629475
Bellville Boat Ramp Site,2008,Oyster Reef,2011,776.4702759,0.5659073864420255,3,3,2008,1,3,-105.94309182328527
Plantation Creek Site,2010,Oyster Reef,2012,420.4058533,0.3222111041347186,2,2,2010,1,2,-106.1811503099591
Florida Passage Site,2012,Oyster Reef,2012,406.5592041,0.9005296349525451,0,0,2012,1,0,-136.5651090040975
Oatland Site,2014,Oyster Reef,2012,370.4666443,0.22484189520279563,-2,0,2014,0,0,-67.83914099742952
Jekyll Island Boat Ramp Site,2009,Oyster Reef,2012,434.5355225,0.7738735212220086,3,3,2009,1,3,-23.48991653750494
Oyster Creek Site B,2013,Oyster Reef,2012,230.6772766,0.8281909823417664,-1,0,2013,0,0,-30.851428448671726
Jointer Creek Oyster Reef A,2012,Oyster Reef,2012,267.1429749,0.8721799155076345,0,0,2012,1,0,-28.036226089888032
Jointer Creek Oyster Reef B,2012,Oyster Reef,2012,282.9951782,0.8394091784954071,0,0,2012,1,0,-20.41633320318408
Jointer Creek Oyster Reef C,2012,Oyster Reef,2012,266.8931274,0.9601141346825494,0,0,2012,1,0,-41.23900040062654
Jointer Creek Oyster Reef D,2012,Oyster Reef,2012,342.6600342,0.43231768740548027,0,0,2012,1,0,-89.13089217264616
Turtle A,2014,Oyster Reef,2012,617.8546143,0.35680811919949273,-2,0,2014,0,0,-189.92205292281335
Turtle B,2014,Oyster Reef,2012,281.8912659,0.5147756752040651,-2,0,2014,0,0,-87.42397310703842
Turtle C,2014,Oyster Reef,2012,694.0470581,0.769315587149726,-2,0,2014,0,0,32.360815178157054
Turtle D,2014,Oyster Reef,2012,364.918335,0.500269439485338,-2,0,2014,0,0,-73.80962006770773
Turtle E,2014,Oyster Reef,2012,263.259552,0.6404505736298032,-2,0,2014,0,0,-72.91489769025088
Bellville Boat Ramp Site,2008,Oyster Reef,2012,759.2993774,0.6028115385108523,4,4,2008,1,4,-126.12707349636821
Plantation Creek Site,2010,Oyster Reef,2013,704.4359741,0.32431894540786743,3,3,2010,1,3,173.18019200151298
Florida Passage Site,2012,Oyster Reef,2013,778.7485352,0.8869875967502594,1,1,2012,1,1,234.1533624315108
Oatland Site,2014,Oyster Reef,2013,465.1555481,0.302138641787072,-1,0,2014,0,0,29.04847661861345
Jekyll Island Boat Ramp Site,2009,Oyster Reef,2013,596.7495117,0.7312927775912814,4,4,2009,1,4,135.78023692638772
Oyster Creek Site B,2013,Oyster Reef,2013,321.6247864,0.9275613210418008,0,0,2013,1,0,61.060075629216726
Jointer Creek Oyster Reef A,2012,Oyster Reef,2013,370.8686829,0.8586291074752808,1,1,2012,1,1,73.05250604962725
Jointer Creek Oyster Reef B,2012,Oyster Reef,2013,395.8354797,0.7969438650391318,1,1,2012,1,1,89.69797167565844
Jointer Creek Oyster Reef C,2012,Oyster Reef,2013,385.905426,0.9358690760352395,1,1,2012,1,1,75.24721506485372
Jointer Creek Oyster Reef D,2012,Oyster Reef,2013,591.4782104,0.5087754279375076,1,1,2012,1,1,155.5074975276146
Turtle A,2014,Oyster Reef,2013,937.8093262,0.44670137638847035,-1,0,2014,0,0,132.23137279322964
Turtle B,2014,Oyster Reef,2013,794.4990234,0.37533151047925156,-1,0,2014,0,0,427.3824982090046
Turtle C,2014,Oyster Reef,2013,728.4545898,0.683547780662775,-1,0,2014,0,0,68.96706069420009
Turtle D,2014,Oyster Reef,2013,556.6364136,0.46474422920833935,-1,0,2014,0,0,120.10717234833521
Turtle E,2014,Oyster Reef,2013,414.8366394,0.6481634775797526,-1,0,2014,0,0,80.86090352579214
Bellville Boat Ramp Site,2008,Oyster Reef,2013,1019.338745,0.5355579961429943,5,5,2008,1,5,130.89921093054795
Plantation Creek Site,2010,Oyster Reef,2014,468.0441895,0.28396193310618395,4,4,2010,1,4,-67.88037108701474
Florida Passage Site,2012,Oyster Reef,2014,392.9144897,0.8431336134672165,2,2,2012,1,2,-153.15154273288078
Oatland Site,2014,Oyster Reef,2014,409.9963379,0.3208012662150643,0,0,2014,1,0,-25.146739303498066
Jekyll Island Boat Ramp Site,2009,Oyster Reef,2014,403.8865967,0.7121868431568146,5,5,2009,1,5,-60.02651380971963
Oyster Creek Site B,2013,Oyster Reef,2014,251.9254608,0.8640958558429371,1,1,2013,1,1,-10.391818154616942
Jointer Creek Oyster Reef A,2012,Oyster Reef,2014,246.6082153,0.8030773301919302,2,2,2012,1,2,-53.84493741085734
Jointer Creek Oyster Reef B,2012,Oyster Reef,2014,274.9676208,0.7749370038509369,2,2,2012,1,2,-33.895883845498986
Jointer Creek Oyster Reef C,2012,Oyster Reef,2014,262.3369141,0.8758498321879994,2,2,2012,1,2,-50.84737996966595
Jointer Creek Oyster Reef D,2012,Oyster Reef,2014,369.9145813,0.2839337810873985,2,2,2012,1,2,-70.23591807212455
Turtle A,2014,Oyster Reef,2014,717.7103882,0.37089260170857113,0,0,2014,1,0,-86.903570928882
Turtle B,2014,Oyster Reef,2014,329.0338745,0.33540001263221103,0,0,2014,1,0,-37.118656413106976
